               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065534,             0.03372,            0.036547,             0.38403,             0.70805,             0.49464,             0.19649,             0.05118,            0.013547,             0.01898,           0.0033221,           0.0033221,            0.070101
                   1,            0.056158,            0.021723,             0.01794,             0.47653,             0.69359,             0.53645,             0.27295,            0.051301,           0.0098251,           0.0098591,           0.0064672,           0.0064672,            0.039912
                   2,            0.052699,            0.017944,            0.012737,             0.70866,             0.80871,             0.78395,             0.33075,             0.04995,           0.0093421,           0.0089572,           0.0094237,           0.0094237,           0.0095356
                   3,            0.043835,            0.018101,            0.011743,             0.82137,             0.77773,             0.86908,             0.49054,            0.029706,           0.0090424,           0.0081894,           0.0091514,           0.0091514,           0.0091514
                   4,            0.036155,            0.018927,             0.01018,             0.82396,             0.87826,             0.88854,             0.54662,            0.029379,           0.0090346,            0.007206,           0.0091514,           0.0091514,           0.0091514
                   5,            0.033229,            0.018384,           0.0090302,             0.84209,             0.87511,             0.92501,             0.58659,            0.025265,            0.009678,           0.0086531,           0.0088686,           0.0088686,           0.0088686
                   6,            0.028918,            0.018511,           0.0088985,             0.93415,             0.88847,              0.9413,             0.69538,            0.021276,           0.0092345,            0.007165,           0.0085857,           0.0085857,           0.0085857
                   7,             0.02698,            0.018297,           0.0083786,             0.92234,             0.91358,             0.95281,             0.71372,            0.019653,            0.008801,           0.0059483,           0.0083029,           0.0083029,           0.0083029
                   8,            0.025685,            0.017946,           0.0072417,             0.91572,             0.94913,             0.95635,             0.70996,            0.017406,           0.0085103,           0.0054896,             0.00802,             0.00802,             0.00802
                   9,            0.025011,            0.017174,           0.0058451,             0.94779,             0.92433,             0.96258,             0.76472,            0.018785,           0.0082999,           0.0047959,           0.0077371,           0.0077371,           0.0077371
                  10,            0.023533,            0.016874,           0.0053727,              0.9451,             0.93006,             0.96006,             0.76897,            0.018386,            0.008167,           0.0053809,           0.0074543,           0.0074543,           0.0074543
                  11,             0.02225,            0.015896,           0.0050736,             0.94464,             0.93941,             0.96299,             0.78784,            0.015742,           0.0078329,           0.0048021,           0.0071714,           0.0071714,           0.0071714
                  12,            0.021851,            0.016043,           0.0051465,             0.96476,             0.91987,             0.96275,              0.7462,              0.0173,           0.0082255,            0.004525,           0.0068886,           0.0068886,           0.0068886
                  13,            0.020764,            0.015405,           0.0051831,             0.92956,             0.95434,             0.96597,             0.78426,            0.016062,           0.0077925,           0.0047855,           0.0066057,           0.0066057,           0.0066057
                  14,            0.020485,            0.015614,           0.0050923,             0.93628,              0.9542,             0.96725,             0.78318,             0.01668,           0.0078446,            0.004404,           0.0063229,           0.0063229,           0.0063229
                  15,             0.02004,            0.015061,           0.0042076,             0.92366,             0.92635,             0.96074,             0.77669,            0.016423,            0.007815,           0.0055797,             0.00604,             0.00604,             0.00604
                  16,            0.019669,            0.014881,           0.0040325,              0.9375,              0.9454,             0.97161,             0.79491,            0.014947,           0.0076734,           0.0048683,           0.0057571,           0.0057571,           0.0057571
